ticker,name,sector,region,style,z_momentum,z_valuation,z_growth,z_quality,z_risk,score_raw,score_adj,score,profile,date,z_efficiency,data_completeness,z_value,z_cashflow,z_dividend,debt_flag,quality_of_earnings,operating_cf_margin,cash_ratio,debt_to_ocf_ratio,cash_conversion_cycle,qoe_flag,cf_quality,mom_6m,revenue_cagr_3y,eps_cagr_3y,pe_ttm,roe,operating_margin,fcf_yield,debt_to_equity
AMZN,Amazon,Ecommerce,US,Growth,-0.218,-0.081,0.053,0.239,-0.237,0.008,0.0,39.79,growth,13-10-25,0.343,72.1,,,,,,,,,,,,,,,,,,,
MQ,Marqeta,Fintech,US,Growth,-0.588,0.559,-0.707,-0.444,0.669,-0.337,-7.0,19.11,growth,13-10-25,-0.114,60.5,,,,,,,,,,,,,,,,,,,
ASR,Grupo Aeroportuario del Sureste,Infrastructure,LatAm,Value,-0.271,0.906,0.087,0.549,0.706,0.289,19.0,94.08,growth,13-10-25,0.827,74.4,,,,,,,,,,,,,,,,,,,
ATAT,Atour Lifestyle,Hospitality,China,Growth,-0.301,0.274,0.78,0.406,0.105,0.37,17.0,88.68,growth,13-10-25,0.753,74.4,,,,,,,,,,,,,,,,,,,
SE,Sea Ltd,Ecommerce/Fintech,Asia,Growth,0.008,-0.885,0.375,-0.003,-0.128,0.05,3.0,48.35,growth,13-10-25,0.377,69.8,,,,,,,,,,,,,,,,,,,
TKO,TKO Group Holdings,Media & Sports,US,Blend,-0.123,-0.343,0.037,0.04,-0.305,-0.048,-5.0,25.55,growth,13-10-25,0.415,69.8,,,,,,,,,,,,,,,,,,,
D05.SI, DBS Group Holdings Ltd, Bank,Singapour,,0.12,0.635,-0.132,-0.115,0.256,-0.02,2.0,45.34,growth,13-10-25,-1.273,44.2,,,,,,,,,,,,,,,,,,,
ABBNY,ABB Ltd,Industrials,Europe,Blend,0.176,-0.177,-0.306,0.095,-0.182,-0.087,2.0,45.15,growth,13-10-25,0.044,72.1,,,,,,,,,,,,,,,,,,,
KNM,Konami Group Corp,Entertainment,Asia,Blend,0.0,0.0,0.0,0.0,0.0,,0.0,,growth,13-10-25,,0.0,,,,,,,,,,,,,,,,,,,
LMND,Lemonade Inc,Fintech,US,Growth,0.108,0.268,0.376,-0.654,0.304,0.036,4.0,51.13,growth,13-10-25,-0.872,41.9,,,,,,,,,,,,,,,,,,,
NVTS,Navitas Semiconductor,Semiconductors,US,Growth,1.275,-0.18,0.02,-1.92,1.186,-0.091,2.0,45.14,growth,13-10-25,-1.39,60.5,,,,,,,,,,,,,,,,,,,
MHVYF,Mitsubishi Heavy Industries,Industrials,Asia,Value,0.094,0.563,-0.119,-0.33,-0.365,-0.075,13.0,76.16,growth,13-10-25,-0.124,72.1,,,,,,,,,,,,,,,,,,,
SPHR,Sphere Entertainment,Entertainment,US,Turnaround,0.27,,-0.227,-0.396,-0.613,,-33.0,,growth,14-10-25,-0.639,59.1,0.662,0.0,,Unknown,,,,,,,,,,,,,,,
TSM,TSMC,Semiconductors,Asia,Blend,0.316,,0.194,1.016,0.199,0.417,42.0,100.0,growth,14-10-25,0.047,75.0,0.199,0.0,-0.587,Unknown,,,,,,,,,,,,,,,
BAKKA.OL,Bakkafrost,Food,Europe,Value,-0.13,,-0.622,-0.14,0.266,-0.309,-21.0,0.0,growth,14-10-25,-0.628,72.7,-0.111,0.0,0.971,Unknown,,,,,,,,,,,,,,,
